"Total","Personas"
"00 años"," 1 812 977"
"01 años"," 1 909 958"
"02 años"," 2 041 119"
"03 años"," 2 108 406"
"04 años"," 2 174 905"
"05 años"," 2 178 901"
"06 años"," 2 095 349"
"07 años"," 2 146 294"
"08 años"," 2 234 495"
"09 años"," 2 109 340"
"10 años"," 2 299 267"
"11 años"," 2 101 472"
"12 años"," 2 249 567"
"13 años"," 2 140 641"
"14 años"," 2 152 593"
"15 años"," 2 193 794"
"16 años"," 2 086 484"
"17 años"," 2 212 396"
"18 años"," 2 307 675"
"19 años"," 2 006 341"
"20 años"," 2 307 835"
"21 años"," 1 917 550"
"22 años"," 2 128 911"
"23 años"," 2 034 083"
"24 años"," 2 033 716"
"25 años"," 2 179 016"
"26 años"," 1 976 471"
"27 años"," 1 954 646"
"28 años"," 2 044 540"
"29 años"," 1 838 328"
"30 años"," 2 366 318"
"31 años"," 1 541 404"
"32 años"," 1 997 789"
"33 años"," 1 777 080"
"34 años"," 1 738 236"
"35 años"," 2 003 176"
"36 años"," 1 828 356"
"37 años"," 1 600 851"
"38 años"," 1 942 049"
"39 años"," 1 645 844"
"40 años"," 2 206 005"
"41 años"," 1 315 240"
"42 años"," 1 925 907"
"43 años"," 1 618 309"
"44 años"," 1 438 125"
"45 años"," 1 895 945"
"46 años"," 1 509 494"
"47 años"," 1 507 873"
"48 años"," 1 591 330"
"49 años"," 1 437 771"
"50 años"," 1 865 176"
"51 años"," 1 100 487"
"52 años"," 1 490 960"
"53 años"," 1 281 760"
"54 años"," 1 299 149"
"55 años"," 1 315 508"
"56 años"," 1 235 819"
"57 años"," 1 013 170"
"58 años"," 1 113 318"
"59 años"," 1 018 143"
"60 años"," 1 333 530"
"61 años","  746 362"
"62 años","  972 778"
"63 años","  919 820"
"64 años","  848 572"
"65 años","  983 101"
"66 años","  679 790"
"67 años","  666 851"
"68 años","  753 713"
"69 años","  561 622"
"70 años","  716 246"
"71 años","  413 507"
"72 años","  580 011"
"73 años","  480 424"
"74 años","  457 152"
"75 años","  470 115"
"76 años","  383 667"
"77 años","  317 417"
"78 años","  362 898"
"79 años","  280 485"
"80 años","  349 002"
"81 años","  181 704"
"82 años","  230 050"
"83 años","  210 369"
"84 años","  204 239"
"85 años","  189 769"
"86 años","  150 665"
"87 años","  123 753"
"88 años","  101 855"
"89 años","  93 203"
"90 años","  96 259"
"91 años","  42 285"
"92 años","  50 444"
"93 años","  41 753"
"94 años","  36 065"
"95 años","  29 917"
"96 años","  22 704"
"97 años","  16 536"
"98 años","  15 452"
"99 años","  10 596"
"100 años","  18 295"
